timestamp,kwh,building,hour
2025-01-01 00:00:00,10,building1,0
2025-01-01 01:00:00,12,building1,1
2025-01-01 02:00:00,9,building1,2
2025-01-02 00:00:00,11,building1,0
2025-01-02 01:00:00,13,building1,1
2025-01-01 00:00:00,20,building2,0
2025-01-01 01:00:00,22,building2,1
2025-01-01 02:00:00,18,building2,2
2025-01-02 00:00:00,21,building2,0
2025-01-02 01:00:00,19,building2,1
2025-01-01 00:00:00,30,building3,0
2025-01-01 01:00:00,28,building3,1
2025-01-01 02:00:00,25,building3,2
2025-01-02 00:00:00,32,building3,0
2025-01-02 01:00:00,27,building3,1
